Column,Coverage
CRC.SW.U0594.T,27436199
CRC.SW.U0595.T,27208300
CRC.SW.U0596.T,23662258
CRC.SW.U0600.N,30873860
CRC.SW.U0600.T,27060800
CRC.SW.U0601.N,27288232
CRC.SW.U0601.T,22867631
CRC.SW.U0602.N,30999187
CRC.SW.U0602.T,27968585
CRC.SW.U0603.T,19430139
CRC.SW.U0604.T,26279209
CRC.SW.U0605.N,31132505
CRC.SW.U0605.T,26801922
CRC.SW.U0637.T,33119439
CRC.SW.U0638.T,37805526
CRC.SW.U0640.T,27091842
CRC.SW.U0641.N,27152438
CRC.SW.U0641.T,27607509
CRC.SW.U0642.N,26977799
CRC.SW.U0642.T,22693642
CRC.SW.U0643.N,27206935
CRC.SW.U0643.T,28427928
CRC.SW.U0645.N,26397310
CRC.SW.U0645.T,30207933
CRC.SW.U0646.T,35917308
CRC.SW.U0647.N,26636672
CRC.SW.U0647.T,23147418
CRC.SW.U0648.N,26828793
CRC.SW.U0648.T,25244167
CRC.SW.U0649.N,28696181
CRC.SW.U0649.T,25399668
CRC.SW.U0650.T,28439345
CRC.SW.U0651.N,27139874
CRC.SW.U0651.T,24837340
CRC.SW.U0652.T,28541499
CRC.SW.U0654.N,24262401
CRC.SW.U0654.T,27444207
CRC.SW.U0656.T,30724892
CRC.SW.U0657.N,23866782
CRC.SW.U0657.T,26141454
CRC.SW.U0658.N,28727565
CRC.SW.U0658.T,24442422
CRC.SW.U0663.T,28463900
CRC.SW.U0666.T,29657344
CRC.SW.U0671.T,30471120
CRC.SW.U0694.N,19714106
CRC.SW.U0694.T,23306584
CRC.SW.U0695.T,36230013
CRC.SW.U0713.N,17264188
CRC.SW.U0713.T,21671163
CRC.SW.U0750.T,29867552
CRC.SW.U0776.T,26037666
CRC.SW.U0793.T,30799231
CRC.SW.U0800.T,26178616
CRC.SW.U0802.T,30003814
CRC.SW.U0803.T,32300981
CRC.SW.U0804.T,18573425
CRC.SW.U0805.T,29424393
CRC.SW.U0814.T,34255590
CRC.SW.U0820.T,27447497
CRC.SW.U0848.T,18489260
CRC.SW.U0849.T,34017003
CRC.SW.U0852.N,27123898
CRC.SW.U0852.T,22225756
CRC.SW.U0857.T,21743174
CRC.SW.U0861.T,26003206
CRC.SW.U0862.T,30228271
CRC.SW.U0865.T,25200331
CRC.SW.U0882.T,27750653
CRC.SW.U0908.T,38072894
CRC.SW.U0915.T,22207105
CRC.SW.U0916.T,20445454
CRC.SW.U0929.T,28870260
CRC.SW.U0933.T,35629085
CRC.SW.U0934.T,20880340
CRC.SW.U0937.T,34635889
CRC.SW.U0938.T,34259184
